{0}
(33.88179009, -117.882792652)
(33.881790323, -117.882791436)
(33.88178988, -117.882793274)
(33.881790131, -117.88279229)
(33.881789308, -117.882792172)
(33.881788214, -117.882791528)
(33.881788219, -117.882793352)
(33.88178767, -117.882792982)
(33.88178811, -117.882791862)
(33.881787202, -117.882790213)
(33.881787374, -117.882790347)
(33.881786566, -117.882788414)
(33.88178647, -117.882788047)
(33.881785409, -117.882787034)
(33.88178486, -117.882788475)
(33.881782934, -117.882787119)
(33.881782142, -117.882786448)
(33.881781831, -117.88278584)
(33.881783356, -117.882785555)
(33.881782673, -117.882785814)
(33.881783104, -117.882783362)
(33.881782598, -117.882783151)
(33.881781795, -117.882783186)
(33.881782156, -117.882783188)
(33.881783356, -117.88278302)
(33.881783031, -117.882781656)
closing
